stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
1242,1599,Londyńska,,52.7363030241598,15.1952987909317,,,
189,663,Rondo Szczecińskie,,52.7368097202418,15.2011030912399,,,
3,413,Rondo Myśliborskie,,52.7348023896735,15.2090853452683,,,
151,5,Alejki,,52.7348722255413,15.2119874954224,,,
152,363,Dunikowskiego,,52.7367812999444,15.2117246389389,,,
153,469,Staszica,,52.7396926601293,15.2115576714277,,,
117,138,Fredry,,52.7388694,15.2181389,,,
118,281,Kotsisa,,52.7370809301477,15.2200824022293,,,
111,399,Matejki,,52.7369396413654,15.2294781804085,,,
112,27,Rondo Kos. Gdyńskich,,52.7336638868398,15.2314227819443,,,
181,191,Katedra,,52.7306282753336,15.2384099364281,,,
175,129,Fabryczna ,,52.7273812851654,15.2383160591125,,,
176,500,Towarowa,,52.7238985016981,15.233348608017,,,
177,224,Kwiatowa,,52.7221082687561,15.2286976575851,,,
178,493,Śląska Pole Golfowe,,52.7210035511473,15.2240386605263,,,
83,494,Śląska Pole Golfowe,,52.7208118473013,15.2237033843994,,,
84,225,Kwiatowa,,52.7223649491354,15.2300816774368,,,
85,501,Towarowa,,52.7245596671512,15.2338421344757,,,
86,130,Fabryczna ,,52.7275875793777,15.2392467856407,,,
87,9,Katedra,,52.7316271756464,15.2379807829857,,,
77,293,Krzywoustego,,52.7352165309753,15.2305054664612,,,
78,609,Sienkiewicza,,52.7373358984006,15.226329267025,,,
79,280,Kotsisa,,52.7374057302097,15.2224776148796,,,
80,137,Fredry,,52.7390361899508,15.2181646227837,,,
81,468,Staszica,,52.7400462648912,15.2125588059425,,,
2,364,Dunikowskiego,,52.7377759993281,15.2116294205189,,,
54,414,Rondo Myśliborskie,,52.7345133004722,15.2111560106277,,,
55,308,Rondo Szczecińskie,,52.7373456423807,15.1997458934784,,,
332,109,Długosza,,52.7421548426815,15.2185052633286,,,
278,28,Roosevelta,,52.7434075997337,15.2256774902344,,,
1217,4017,Warta Arena,,52.7475638484093,15.2197350561619,,,
279,79,Cmentarz Brama I,,52.7497658216551,15.2181968092918,,,
